review_id,user_id,business_id,stars,useful,funny,cool,text,date
bi6GaeWDGceGv62lXTIKQA,RgtbLaiU22zqaCk20HgbiQ,bjhCtlYHrkgA5Ku8l-rB3g,1,1,0,0,"Very disappointed. We went to eat  at 2:15 on Saturday and were told the kitchen closed at 2. Their website says: Sat & Sun all day. Their website claims that they are open until 5.
I'm always a bit suspect of places that can't manage simple details like their hours on their website. It makes me wonder about the awareness to quality and other ""small"" items.",2015-01-04 02:26:46
dWotGplxOFvATs92qiAvuA,kRZYT3eiOg3C-wrPNgyMQw,O6RCCmz8-x4NhWJpI8KQug,3,2,1,0,"Food and coffee are great. Just have 30
Minutes to stand in line and wait for the ONE cashier to make change. Either they fix this and add another cashier or they will be dead. Shouldn't have to wait for one cashier while 5 other folks stand behind the one cashier watching the line grow. Adds other till!",2016-07-03 17:13:37
R0_ySza9avRlI2ktVMA5MA,iM7H0ZDpQsjtoT08eaGVrA,bjhCtlYHrkgA5Ku8l-rB3g,1,0,0,0,"I really wanted to be able to leave a good review, this place is within walking distance so the location is super convenient.  Basically, the food is mediocre, which is fine, I can handle so-so tasting food. It's the experience portion of dining here that caused such a low review. I saw the good and bad reviews, but I'm fair and like to judge from my own experience, so I came in with neutral expectations. I came in with a group of six people. We ordered separately, I was the first to order. However, our food took 25 minutes, and when we asked what the holdup was, no one seemed to know or care. We did end up letting them know the service was poor, and the guy I was explaining to walked away as I was speaking! He flat out did not care.  At this point, that's just plain rude. We tried to complain to the woman managing the floor and her response was, ""oh.""  Apparently, we weren't the only ones complaining, as we were walking out, another customer walked in to get her money back because her boyfriend has already been served and finished his food while she still hadn't gotten hers. This place has potential, but until they realize that service is an equally important part of the restaurant experience, they probably won't even try to improve. Such a bummer.",2014-10-12 19:23:18
lvenNxO98GCywBqGpoOVOg,xXpXyf7TLV_xvtDYk4kW8g,bjhCtlYHrkgA5Ku8l-rB3g,1,1,0,0,Terrible service.  I ordered take out and after 25 minutes I had to cancel my order.  I got my money back but what the hell?  It wasn't even busy.  I was watching them as the food came out of the kitchen and neither the kitchen staff nor the people serving had any idea what was going on.  Everyone looked clueless.  I suppose I shouldn't have been surprised that my food never appeared.,2014-10-11 18:38:34
ExrueIKXkzUI8y4R9L4pFA,8QAuY_XnWq9WbW0lYI7Vjg,O6RCCmz8-x4NhWJpI8KQug,1,9,7,3,"Oxymoronic name to begin with and I asked do you serve sparkling water with your Espresso and the lady said sometimes, clearly I didn't go in that sometimes! The cheap ass Quality Inn had free Breakfast that had more choices than this 'Breakfast' place :)

Espresso? Meh!

If you walk outside and look to the left you may find the breakfast place you are looking for :)

Kudos to the nice looking spot but it gives some sort of a fake vibe! Doesn't jive with a coffee shop, oh well.",2016-07-16 17:42:00
jcmv80VVNnzoX05kYaaB9A,OZ1NmK2RLv0UxGFABE0CHw,bjhCtlYHrkgA5Ku8l-rB3g,3,1,1,1,"Because we were already getting full from some of our other stops, and had more pastry eating to do, we didn't order much from here. My friend loves the little olive rolls. But for me, I chose a medium sized hunk of ciabatta. It was soft and squishy, just like I like it! My friend's kids split the chocolate brioche torpedo. For me, it was really dry and flavorless. It was the chocolate that made it palatable.",2017-01-03 20:30:16
kGdkH76Fpu2BFXSEea7qNw,JlXNjrNoqa0uQv3SWxy74Q,O6RCCmz8-x4NhWJpI8KQug,2,4,0,0,"Such an awesome vibe and location. Great place to chill. Unfortunately, the service is awful. The gal working at the point of sale (short bangs but long brown hair) could not have been more cold or uninviting. Wow. Horrible first impression. We took our biz elsewhere...",2017-08-08 23:17:23
huuMWl8WMOqMEdONeCXsnA,KoibCOucsZ0eluSGc11ehw,bjhCtlYHrkgA5Ku8l-rB3g,2,2,0,0,"I stopped in yesterday to ODB's new location after a procedure @ Cottage Hospital. I wasn't allowed to eat a day prior to procedure so I was hungry. Nurse told me ODB is now close by. Oh goodie! 
When I placed my order ~Cubano sandwich, with wheat&walnut, cranberry bread.....only that (my favorite) bread was not available. iI almost walked out. I should have.
It took  f o r e v e r   to get my  sandwich, it was 'eh, just not the same yummy taste,  salad was smaller and if I'm correct, it cost $2 more than at at old location!
So, I'll give ODB a 2 out of a 10. 10 being the best. Sorry guys, but you gotta step it up!
P.s. the lemon bar was so dry. ;( ick, I didn't eat it all. ;(",2013-05-09 18:27:16
ka6yiRaa0TnVIMni9pnM1A,pik-8Iakk4QGi4NhNE9kTQ,O6RCCmz8-x4NhWJpI8KQug,1,14,19,3,"Space and atmosphere-8 and then it's a downhill from there: Food-non existence, as in;
""So can I see your breakfast menu?"" ....""um, we don't have food here...just pastries, and oh, yes on Sunday we serve burritos"" -I SEE! The pastries stood there looking like more like fossils in a museum, far a part from each other, dry looking and utterly unappetizing. Void of course of prices, as if not expected to be purchased and eaten, no we are here as a metaphor, like the name of this place. The persons behind the counter are an odd bunch, the young girl is so oddly serious and aloof, for this kind of concept, while the bearded man seems like he just rolled out of his bed, and not a very comfortable one, if you know what I mean...the only one that fits the ""concept"" of ""eat cool, chill vibe, instead of messy food"" is the young dude, with the glasses, who might be the rich kid who's parents finance this.  Maybe they were secretly fans of the Breakfast Club (the ancient film) and settled on just the half part, not to give away their age.... I don't know, but this name is so very predictable to the essence of this place: cool on the outside, empty inside.

On a side not: photographs are terrific, and so is the idea of supporting those artists, but why not stay true to what you want to be? Either drop the name or bring on the breakfast, and it better be a damn good one!",2016-08-06 05:35:24
6KbcLsyAfAQhWrj_x4ScjQ,7TaVrRROCJRlYdC5orqmVw,bjhCtlYHrkgA5Ku8l-rB3g,2,0,0,0,Been wanting to try Our Daily Bread since it appeared on a nearby corner. Was disappointed with my first visit. Terrible place to sit on the corner of De la Vina and Alamar. The food was a bit overpriced and it took 25 minutes to get an omlet. There was no service. Cute orange chairs though and a good local brand.,2013-05-15 21:59:14
