review_id,user_id,business_id,stars,useful,funny,cool,text,date
bi6GaeWDGceGv62lXTIKQA,RgtbLaiU22zqaCk20HgbiQ,bjhCtlYHrkgA5Ku8l-rB3g,1,1,0,0,"Very disappointed. We went to eat  at 2:15 on Saturday and were told the kitchen closed at 2. Their website says: Sat & Sun all day. Their website claims that they are open until 5.
I'm always a bit suspect of places that can't manage simple details like their hours on their website. It makes me wonder about the awareness to quality and other ""small"" items.",2015-01-04 02:26:46
dWotGplxOFvATs92qiAvuA,kRZYT3eiOg3C-wrPNgyMQw,O6RCCmz8-x4NhWJpI8KQug,3,2,1,0,"Food and coffee are great. Just have 30
Minutes to stand in line and wait for the ONE cashier to make change. Either they fix this and add another cashier or they will be dead. Shouldn't have to wait for one cashier while 5 other folks stand behind the one cashier watching the line grow. Adds other till!",2016-07-03 17:13:37
u6EW2edED7ZfbZAw7lcYYQ,dNoGiISFXS1YM5HacSh0eA,bjhCtlYHrkgA5Ku8l-rB3g,5,0,0,0,"Great  breads especially the German rye. My favorite breakfast is the poached eggs, cooked perfectly. For lunch, I go for the eggplant panini or  Laurie's salad.",2013-11-14 02:00:49
Dn12A0jiukqwpn_UmDNZ8A,Ew9FroiMwHEcwtx4tLV0KA,bjhCtlYHrkgA5Ku8l-rB3g,4,0,0,0,This was my first time at Our Daily Bread and I loved it! I ordered the lemon-blueberry hotcakes and was very pleased. I loved the hint of the lemon because it wasn't too overwhelming and the maple syrup was really good too! I also ordered the hot chocolate and it was delicious. I am very picky about my hot chocolate and it was just right! My only confusion was where to put my dishes once I was done but I asked an employee and he was very kind and told me to leave them on the table. Go try it everyone!,2013-05-07 16:31:16
R0_ySza9avRlI2ktVMA5MA,iM7H0ZDpQsjtoT08eaGVrA,bjhCtlYHrkgA5Ku8l-rB3g,1,0,0,0,"I really wanted to be able to leave a good review, this place is within walking distance so the location is super convenient.  Basically, the food is mediocre, which is fine, I can handle so-so tasting food. It's the experience portion of dining here that caused such a low review. I saw the good and bad reviews, but I'm fair and like to judge from my own experience, so I came in with neutral expectations. I came in with a group of six people. We ordered separately, I was the first to order. However, our food took 25 minutes, and when we asked what the holdup was, no one seemed to know or care. We did end up letting them know the service was poor, and the guy I was explaining to walked away as I was speaking! He flat out did not care.  At this point, that's just plain rude. We tried to complain to the woman managing the floor and her response was, ""oh.""  Apparently, we weren't the only ones complaining, as we were walking out, another customer walked in to get her money back because her boyfriend has already been served and finished his food while she still hadn't gotten hers. This place has potential, but until they realize that service is an equally important part of the restaurant experience, they probably won't even try to improve. Such a bummer.",2014-10-12 19:23:18
lvenNxO98GCywBqGpoOVOg,xXpXyf7TLV_xvtDYk4kW8g,bjhCtlYHrkgA5Ku8l-rB3g,1,1,0,0,Terrible service.  I ordered take out and after 25 minutes I had to cancel my order.  I got my money back but what the hell?  It wasn't even busy.  I was watching them as the food came out of the kitchen and neither the kitchen staff nor the people serving had any idea what was going on.  Everyone looked clueless.  I suppose I shouldn't have been surprised that my food never appeared.,2014-10-11 18:38:34
Yi30Mr5Bx-JyVhsT_QZVcA,fGriwGNLeroptHN6JT2eIQ,O6RCCmz8-x4NhWJpI8KQug,5,0,0,0,"Dang! This place was really refreshing! Great coffee, helpful kind and knowledgeable staff. This is my type of breakfast, coffee and a baked good or even a delicious avocado toast is the only way I like to start my morning, simple. Great art. Parking is way too easy as well!",2018-01-09 23:04:34
b4NThAISLYgUfJ9eDSW91g,5I_Qls5G_-Hwbd39eVG2yA,bjhCtlYHrkgA5Ku8l-rB3g,5,0,0,0,Love this place!! The bread and scones are first class! I love having a coffee and people watching. Vince is the best!,2015-10-25 19:03:53
Ioi_RMBvhEAYZg0vjeRwrw,5mo4zCTWU_MQf1tdGAoV4g,O6RCCmz8-x4NhWJpI8KQug,4,0,0,0,"I admire Breakfast for opening their space to all-ages shows, regularly featuring artists' photos, paintings, even sculptures, and hosting casual food pop ups. 

I know many reviewers have said the left side of the shop is gimmicky and ""too hip"" (branded merch, surf/skate mags, and comfy chairs), but the last time I was here kids were loving the connect four out on the table-- what's to hate about that? 

That said, their espresso can be hit or miss, and sometimes my Gibraltar milk is a little too hot and a little too fluffy, but they use good beans and their drip brew is great. Yes, their staff can be intimidatingly terse, but regulated cheeriness (that's the norm at shops that rhyme with CandleJar) doesn't have a place here. I like that. 

Where else in Santa Barbara can you sit on a sofa and drink a cuppa? Find an outlet next to your table? Simple problems; Breakfast is a simple answer.",2018-09-03 18:35:48
0_vZq3tvytqC0XgwcRmdVg,4qxbaFhTzvKKZripuD3-WA,O6RCCmz8-x4NhWJpI8KQug,5,4,0,2,"best coffee shop in santa barbara
great vegan snacks
very nice and beautiful employees
also good music",2016-05-19 19:35:51
F_o2WAG0kF529DTE8YwFzQ,UresxrSsiOepV7RAHy3yoQ,O6RCCmz8-x4NhWJpI8KQug,5,4,0,2,"Great Gibraltar! Super cool space. Hipster surfer vibe is down. They had pastry, breakfast burritos (made off site though) and gorgeous looking bread for $3.50 and is worth it!",2016-10-02 15:56:55
