business_id,name,is_open,postal_code,stars,Ambiance,Drinks,Food,Price,Service
max,NA,NA,NA,1,0.11,0.21,0.39,0.38,0.13
max,NA,NA,NA,2,0.37,0.25,0.61,0.63,0.24
max,NA,NA,NA,3,0.8,1.41,1.56,1.04,1.03
max,NA,NA,NA,4,2.76,3.77,4.23,3.34,4.73
max,NA,NA,NA,5,5.35,7.07,6.74,17.1,11.88
min,NA,NA,NA,1,-0.3,-0.18,-0.06,-0.14,-0.61
min,NA,NA,NA,2,-0.06,-0.03,-0.03,-0.08,-0.06
min,NA,NA,NA,3,-0.02,-0.08,-0.01,-0.07,-0.04
min,NA,NA,NA,4,-0.01,-0.02,0,-0.07,0
min,NA,NA,NA,5,0,0,0.01,-0.05,0.01
average,NA,NA,NA,1,0.01,0.02,0.03,0.05,-0.05
average,NA,NA,NA,2,0.05,0.06,0.08,0.1,0.04
average,NA,NA,NA,3,0.13,0.18,0.15,0.17,0.17
average,NA,NA,NA,4,0.39,0.53,0.51,0.38,0.72
average,NA,NA,NA,5,0.95,1.34,1.2,0.96,2.04
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,1,93101,5,1.96,2.66,3.32,1.11,4.9
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,1,93101,4,0.9,0.99,1,0.19,1.32
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,1,93101,3,0.36,0.15,0.36,0.47,0.36
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,1,93101,2,0.13,0.04,0.11,0.13,0.08
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,1,93101,1,0.06,0.04,0.05,0.17,0.13
bjhCtlYHrkgA5Ku8l-rB3g,Our Daily Bread,0,93105,5,0.19,0.57,0.45,0.61,1.02
bjhCtlYHrkgA5Ku8l-rB3g,Our Daily Bread,0,93105,4,0.16,0.06,0.28,0.53,1.06
bjhCtlYHrkgA5Ku8l-rB3g,Our Daily Bread,0,93105,1,0.05,0.04,0.07,-0.08,-0.01
bjhCtlYHrkgA5Ku8l-rB3g,Our Daily Bread,0,93105,2,0.05,0.06,0.07,0.3,0.19
bjhCtlYHrkgA5Ku8l-rB3g,Our Daily Bread,0,93105,3,-0,0.05,0.09,0.06,0.16
O6RCCmz8-x4NhWJpI8KQug,Breakfast Culture Club,0,93101,5,0.75,2.07,0.52,0.52,1.23
O6RCCmz8-x4NhWJpI8KQug,Breakfast Culture Club,0,93101,4,0.15,0.45,0.03,0,0.25
O6RCCmz8-x4NhWJpI8KQug,Breakfast Culture Club,0,93101,3,0.1,0.19,0,0.19,0.12
O6RCCmz8-x4NhWJpI8KQug,Breakfast Culture Club,0,93101,2,0.08,-0,0.01,0,0.01
O6RCCmz8-x4NhWJpI8KQug,Breakfast Culture Club,0,93101,1,0.01,0.06,0.02,-0.01,-0.04
xIGiif0TmmmGuV2-sidMSw,La Bella Rosa Bakery Cafe,1,93101,5,0.1,0.13,0.13,0.12,0.25
xIGiif0TmmmGuV2-sidMSw,La Bella Rosa Bakery Cafe,1,93101,4,0.06,0.04,0.07,0.11,0.13
xIGiif0TmmmGuV2-sidMSw,La Bella Rosa Bakery Cafe,1,93101,1,0,0,0.05,-0.05,-0.01
xIGiif0TmmmGuV2-sidMSw,La Bella Rosa Bakery Cafe,1,93101,2,0,0,0,0,0.02
xIGiif0TmmmGuV2-sidMSw,La Bella Rosa Bakery Cafe,1,93101,3,0,0,0.04,0.11,0.03
ghLjxj4HoSHdflBEz2lIqA,Gelson's,1,93105,4,0.37,0.14,0.35,0.44,0.57
ghLjxj4HoSHdflBEz2lIqA,Gelson's,1,93105,5,0.31,0.22,0.23,0.19,0.55
ghLjxj4HoSHdflBEz2lIqA,Gelson's,1,93105,2,0.07,-0.01,0.02,0.01,0.06
ghLjxj4HoSHdflBEz2lIqA,Gelson's,1,93105,3,0.05,0,0.05,0.01,0.06
ghLjxj4HoSHdflBEz2lIqA,Gelson's,1,93105,1,0.02,0,0,0.06,0.1
23OxrUaCvvVrwSa1z3xG-w,Recipes Bakery & Gifts: An Australian Coffee House,1,93101,5,1.03,2.38,0.59,0.65,1.39
23OxrUaCvvVrwSa1z3xG-w,Recipes Bakery & Gifts: An Australian Coffee House,1,93101,4,0.3,0.5,0.35,0.4,0.37
23OxrUaCvvVrwSa1z3xG-w,Recipes Bakery & Gifts: An Australian Coffee House,1,93101,3,0.1,0.21,0.05,0.04,0.02
23OxrUaCvvVrwSa1z3xG-w,Recipes Bakery & Gifts: An Australian Coffee House,1,93101,2,0.05,0.12,0.06,0,0.15
23OxrUaCvvVrwSa1z3xG-w,Recipes Bakery & Gifts: An Australian Coffee House,1,93101,1,0,0.06,-0.02,0.2,0.03
7kLn2XsFwyJ-yFn4qx40TQ,Buena Onda at Mosaic Locale,1,93101,5,0.14,0,0.13,0.4,0.55
7kLn2XsFwyJ-yFn4qx40TQ,Buena Onda at Mosaic Locale,1,93101,3,0.04,0.02,0.01,0,0.01
7kLn2XsFwyJ-yFn4qx40TQ,Buena Onda at Mosaic Locale,1,93101,1,0,0,0,0,-0.01
7kLn2XsFwyJ-yFn4qx40TQ,Buena Onda at Mosaic Locale,1,93101,4,-0.01,0,0,0,0.03
7grEnJV48N6BxbEP3uxISA,Mr B Restaurant & Cafe,1,93105,5,0.08,0.03,0.06,0.06,0.28
7grEnJV48N6BxbEP3uxISA,Mr B Restaurant & Cafe,1,93105,4,0.03,0,0.04,0,0.1
7grEnJV48N6BxbEP3uxISA,Mr B Restaurant & Cafe,1,93105,1,-0,0,0.01,0,-0.01
7grEnJV48N6BxbEP3uxISA,Mr B Restaurant & Cafe,1,93105,2,0,0,0,0,-0
QS0a4snAEc-zdLeLIgTaHg,Delicious Expressions,0,93101,5,0.34,0.23,0.84,0.33,0.93
QS0a4snAEc-zdLeLIgTaHg,Delicious Expressions,0,93101,3,0,0,0.01,0,0
-loV4cB2Uh9TCltTRgGzWQ,Renaud's Patisserie & Bistro,1,93101,5,1.61,3.65,3.37,0.98,3.46
-loV4cB2Uh9TCltTRgGzWQ,Renaud's Patisserie & Bistro,1,93101,4,0.59,1.18,1.34,0.62,1.12
-loV4cB2Uh9TCltTRgGzWQ,Renaud's Patisserie & Bistro,1,93101,3,0.17,0.1,0.2,0.06,0.09
-loV4cB2Uh9TCltTRgGzWQ,Renaud's Patisserie & Bistro,1,93101,2,0.07,0.23,0.13,0.18,0
-loV4cB2Uh9TCltTRgGzWQ,Renaud's Patisserie & Bistro,1,93101,1,-0.04,0.06,0.09,0.38,0.04
PT99vOEnfEwfOly9YoWvXg,Christine Dahl,0,93101,5,0.76,0.46,0.61,-0.05,0.97
PT99vOEnfEwfOly9YoWvXg,Christine Dahl,0,93101,1,0,-0.03,-0.01,0,0.02
WQnjp_CEYTYKBBKJDME0bQ,Vons,0,93105,3,0.02,0,0,-0.07,0.04
WQnjp_CEYTYKBBKJDME0bQ,Vons,0,93105,2,0.01,0,0.01,-0.06,0.03
WQnjp_CEYTYKBBKJDME0bQ,Vons,0,93105,4,0.01,0,0,0,0
WQnjp_CEYTYKBBKJDME0bQ,Vons,0,93105,5,0,0,0.01,0,0.01
WQnjp_CEYTYKBBKJDME0bQ,Vons,0,93105,1,-0.03,0,-0.01,0,-0.1
LtxG9DTXCFpteVkD4SGBlw,Sevtap Winery Tasting Room,1,93101,5,1.59,0.1,1.7,0.85,2.45
LtxG9DTXCFpteVkD4SGBlw,Sevtap Winery Tasting Room,1,93101,4,0.5,0,0.33,0.39,0.54
LtxG9DTXCFpteVkD4SGBlw,Sevtap Winery Tasting Room,1,93101,3,0.12,0,0.08,0.1,0.13
LtxG9DTXCFpteVkD4SGBlw,Sevtap Winery Tasting Room,1,93101,1,0.07,0.04,0.11,0,-0.06
LtxG9DTXCFpteVkD4SGBlw,Sevtap Winery Tasting Room,1,93101,2,0.02,0,0.04,0,0.03
VgAKmXE8B7J0I_O_R13UKQ,Santa Barbara Roasting Company,1,93101,5,2.58,7.07,0.53,2.62,3.16
VgAKmXE8B7J0I_O_R13UKQ,Santa Barbara Roasting Company,1,93101,4,1.18,3.77,0.32,1.8,1.48
VgAKmXE8B7J0I_O_R13UKQ,Santa Barbara Roasting Company,1,93101,3,0.36,1.41,0.05,0.44,0.5
VgAKmXE8B7J0I_O_R13UKQ,Santa Barbara Roasting Company,1,93101,2,0.19,0.25,0.07,0.18,-0.06
VgAKmXE8B7J0I_O_R13UKQ,Santa Barbara Roasting Company,1,93101,1,0.05,0.21,0.01,0.09,-0.12
JZrspVMm79n_iHTYftkI0g,La Tapatia Bakery,1,93103,5,0.25,0.04,0.1,0.24,0.35
JZrspVMm79n_iHTYftkI0g,La Tapatia Bakery,1,93103,4,0.07,0.04,0.07,0,0.04
JZrspVMm79n_iHTYftkI0g,La Tapatia Bakery,1,93103,3,0.06,0,0.02,0,-0.04
JZrspVMm79n_iHTYftkI0g,La Tapatia Bakery,1,93103,1,0,0,0.02,-0.05,-0.09
JZrspVMm79n_iHTYftkI0g,La Tapatia Bakery,1,93103,2,0,0,0,0,0
Hj44PIrCtv61ETVclzLMwg,Jeannine's American Bakery Restaurant,0,93101,5,2.3,1.75,1.62,0.84,4.78
Hj44PIrCtv61ETVclzLMwg,Jeannine's American Bakery Restaurant,0,93101,4,1.03,0.97,1.38,0.86,2.7
Hj44PIrCtv61ETVclzLMwg,Jeannine's American Bakery Restaurant,0,93101,3,0.55,0.26,0.31,0.36,0.53
Hj44PIrCtv61ETVclzLMwg,Jeannine's American Bakery Restaurant,0,93101,2,0.14,0.15,0.21,0.42,0.1
Hj44PIrCtv61ETVclzLMwg,Jeannine's American Bakery Restaurant,0,93101,1,0.03,-0.02,-0.06,0.14,-0.1
