level,date,state_fips,state_postal_code,county_fips,county_name,population_staying_at_home,population_not_staying_at_home,number_of_trips,number_of_trips_<1,number_of_trips_1-3,number_of_trips_3-5,number_of_trips_5-10,number_of_trips_10-25,number_of_trips_25-50,number_of_trips_50-100,number_of_trips_100-250,number_of_trips_250-500,number_of_trips_>=500,row_id,week,month
County,2019-01-01,06,CA,06083,Santa Barbara County,109052,337447,1291574,381757,383470,164055,146156,110506,64568,27288,10683,1697,1394,06-06083-20190101,0,1
County,2019-01-02,06,CA,06083,Santa Barbara County,89940,356559,1691161,516581,490391,211520,205218,137698,77312,38763,10810,1623,1245,06-06083-20190102,0,1
County,2019-01-03,06,CA,06083,Santa Barbara County,92788,353711,1683644,494414,494203,215937,202850,143021,80173,38144,12018,1619,1265,06-06083-20190103,0,1
County,2019-01-04,06,CA,06083,Santa Barbara County,91107,355392,1681571,503880,487986,215792,211409,130938,79072,37329,12381,1551,1233,06-06083-20190104,0,1
County,2019-01-05,06,CA,06083,Santa Barbara County,93215,353284,1710381,545767,495226,215547,195442,129590,75399,39218,11580,1519,1093,06-06083-20190105,0,1
County,2019-01-06,06,CA,06083,Santa Barbara County,98662,347837,1478714,452951,442207,182517,173962,110025,65239,35712,13395,1496,1210,06-06083-20190106,1,1
County,2019-01-07,06,CA,06083,Santa Barbara County,96139,350360,1615584,527569,460261,196164,188758,125636,69057,34406,11091,1432,1210,06-06083-20190107,1,1
County,2019-01-08,06,CA,06083,Santa Barbara County,95644,350855,1548098,479935,453740,193004,182930,122922,67684,34564,10640,1495,1184,06-06083-20190108,1,1
County,2019-01-09,06,CA,06083,Santa Barbara County,93353,353146,1560523,499760,458847,182120,183008,120480,69824,32835,10886,1685,1078,06-06083-20190109,1,1
County,2019-01-10,06,CA,06083,Santa Barbara County,93076,353423,1594328,476493,473982,200937,193049,126837,73604,34288,12156,1611,1371,06-06083-20190110,1,1
County,2019-01-11,06,CA,06083,Santa Barbara County,89025,357474,1644182,534390,457750,194747,194525,132558,76577,38071,12678,1818,1068,06-06083-20190111,1,1
County,2019-01-12,06,CA,06083,Santa Barbara County,95255,351244,1635298,507659,485370,202319,185376,128421,75379,36013,12363,1587,811,06-06083-20190112,1,1
County,2019-01-13,06,CA,06083,Santa Barbara County,95904,350595,1485332,439730,453593,180748,169122,123658,74531,29392,11623,1928,1007,06-06083-20190113,2,1
County,2019-01-14,06,CA,06083,Santa Barbara County,88215,358284,1638431,558340,467667,183132,183120,125303,75210,32901,9803,1998,957,06-06083-20190114,2,1
County,2019-01-15,06,CA,06083,Santa Barbara County,91227,355272,1600173,550109,455226,178333,177414,125043,72617,28803,9566,1912,1150,06-06083-20190115,2,1
County,2019-01-16,06,CA,06083,Santa Barbara County,89879,356620,1618094,533799,460355,190192,193553,125303,72205,29649,10060,1893,1085,06-06083-20190116,2,1
County,2019-01-17,06,CA,06083,Santa Barbara County,90972,355527,1571418,486785,472571,193311,178101,127439,71084,28333,10563,2119,1112,06-06083-20190117,2,1
County,2019-01-18,06,CA,06083,Santa Barbara County,90718,355781,1598949,433915,491394,202535,199779,140781,78745,34261,12946,2473,2120,06-06083-20190118,2,1
County,2019-01-19,06,CA,06083,Santa Barbara County,92257,354242,1654365,457637,494055,208188,205209,146241,84087,41895,13053,2130,1870,06-06083-20190119,2,1
County,2019-01-20,06,CA,06083,Santa Barbara County,89193,357306,1521341,421372,456919,187867,188309,137989,80292,32251,12624,2097,1621,06-06083-20190120,3,1
County,2019-01-21,06,CA,06083,Santa Barbara County,86251,360248,1658806,495821,483131,205467,200368,143722,79570,34557,12463,1949,1758,06-06083-20190121,3,1
County,2021-06-06,06,CA,06083,Santa Barbara County,100584,345915,1117580,317013,319768,132027,121109,124748,67981,21239,11313,1782,600,06-06083-20210606,23,6
County,2021-06-07,06,CA,06083,Santa Barbara County,96397,350102,1343871,423222,374784,161256,148058,136230,71381,19871,6985,1401,683,06-06083-20210607,23,6
County,2021-06-08,06,CA,06083,Santa Barbara County,97353,349146,1285725,372241,362545,158275,167732,133549,63269,17770,8042,1671,631,06-06083-20210608,23,6
