business_id,date,stars,croissant,cake,cupcakes,cupcake,sandwich,wine,bread,toast,chocolate,salad,cheese,brunch,eggs,egg,chicken,donut,donuts,pastries,pastry,benedict,bacon,sandwiches,avocado,sourdough,cookie,fruit,croissants,salmon,butter,macarons,cream,burrito,turkey,strawberry,lobster,almond,caramel,blackberry,burger,blueberry,muffin,gourmet,sausage,cinnamon,grilled,raspberry,bagels,tomatoes,macaron,pasta,desserts,Steak,omelette,apple,soup,potatoes,brioche,danish,pie,biscuit,scones,tuna,brownie,tart
IDtLPgUrqorrpqSLdfMhZQ,2016-10-13 22:50:47,5,0.5267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2015-01-04 02:26:46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2017-01-15 00:36:04,5,,,,,0.6369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2018-07-17 00:20:41,4,,,,,0.5719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2016-07-03 17:13:37,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2013-11-14 02:00:49,5,,,,,,,0.6249,,,,,,0.4588,0.4588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2018-01-09 20:44:47,5,,,,,,,0.6369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2013-05-07 16:31:16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2014-10-12 19:23:18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2014-10-11 18:38:34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2017-02-09 19:09:31,2,,,,,,,,,,0.4404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2018-01-09 23:04:34,5,,,,,,,,0.765,,,,,,,,,,,,,,,0.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8442
IDtLPgUrqorrpqSLdfMhZQ,2017-12-02 21:55:08,5,0.2263,,,,0.5719,0.45594999999999997,,,0.6369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2018-08-05 00:40:41,5,,,,,0.5719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2017-10-25 04:02:18,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xIGiif0TmmmGuV2-sidMSw,2016-12-04 22:21:51,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2015-10-25 19:03:53,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2018-09-03 18:35:48,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2017-07-08 18:07:50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2016-05-19 19:35:51,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2017-05-27 02:10:57,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2016-10-02 15:56:55,5,,,,,,,0.6124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2018-03-24 19:35:06,2,,,,,,,,,,,,,0.4767,0.4491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2016-10-26 21:24:20,5,,,,,,,,,,0.5574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2017-02-21 01:03:53,5,,,,,,,0.4588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2018-03-04 17:37:14,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2014-04-03 16:07:28,5,,,,,,,0.5106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2014-04-03 21:59:46,5,,,,,,,-0.07092500000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2016-07-16 17:42:00,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O6RCCmz8-x4NhWJpI8KQug,2018-08-16 07:03:58,5,,,,,,,,0.4404,,,,,,,,,,,,,,,,,,0.48819999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDtLPgUrqorrpqSLdfMhZQ,2016-09-20 17:11:29,5,,,,,,,,,0.1139,0.5719,,,,,,0.1139,0.1139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjhCtlYHrkgA5Ku8l-rB3g,2015-06-12 03:18:59,4,,,,,,,0.41755000000000003,0.1691666666666667,,,,,,,,,,,,,,,,,,,,,0.5574,,,,,0.5574,,,,,,,,,,,,,,,,,,,,,,,,,0.18975,,,,,
