review_id,user_id,business_id,stars,useful,funny,cool,text,date
xinTYNBQflqAoKYBAztv2A,2ykh0_q0uMLFtypLDVSqlg,IDtLPgUrqorrpqSLdfMhZQ,2,3,0,0,"Super slow service, ""salads"" are not very good and really over priced. Won't be returning.",2017-02-09 19:09:31
8lCHjDmqdenmdH1Bc3_AHw,pcJNeSRw8n1NpYNh6q62mg,xIGiif0TmmmGuV2-sidMSw,1,0,0,0,Muy mal. Servicio y me robaron ordene un pastel para 30 personas y me dieron uno para 10 personas y muy mal sabor y mal decorado tenga cuidado con sus ordenes,2016-12-04 22:21:51
53exw7KNmp1bBpj40fBtmQ,cjpWGe6u6Wg8X7JmfGLHVw,IDtLPgUrqorrpqSLdfMhZQ,2,0,0,0,"I wanted wood-fired eggs from sister venue Lucky Penny and was hoping Helena Bakery would have them, but they don't. So I ordered an espresso drink to go. I waited 15 minutes for that drink! Why only one barista on a busy Saturday morning? The owners should re-open Lucky Penny for breakfast because Helena Bakery is busier than they can handle (and I want my wood-fired eggs!) They have improved their selection of baked goods since last year.",2018-03-24 19:35:06
LuLzCVNRkAPjVaRVA__V2A,7gDOm5IJarR2QtOlbY695A,IDtLPgUrqorrpqSLdfMhZQ,3,2,0,0,"I should know better than to try to eat a bagel in California. At 9am it wasn't empty, but not busy. We were the only ones waiting for food. It took them 15 minutes to toast a mediocre bagel and put it in a box with capers, cream cheese, and onions, pre-packaged separately based on the 5 days prior date scrawled in sharpie on the plastic cup (they forgot my tomatoes). Not very cute for the mom-and-pop vibe they have going.

Barista was fast at least. Good latte and cold brew. I should have just ordered a pastry though.",2018-03-04 17:37:14
mMXZC5EGbEiO33hXx5tHgg,cjpWGe6u6Wg8X7JmfGLHVw,IDtLPgUrqorrpqSLdfMhZQ,2,1,0,0,"I want to like the Helena Bakery, but they don't offer the yummy bakery items they provided at Lucky Penny, so I miss Lucky Penny because they had better food. I especially miss the wood fired eggs and financiers. Every time we order for here, they give us our drink in to go cups and it takes a long time to get the drinks. Today the music was really bad late 70's early 80's music. I'm done with this place.",2017-05-29 15:47:31
iuc_8IXLeEhJG9nYwlYN_Q,jZpwCh08h5By_LuBZHfIFA,xIGiif0TmmmGuV2-sidMSw,3,1,0,0,"Baked goods are delicious especially jam with custard croissant . 
flan was a bit heavy , chicken tamales tasted so good but kinda dry. Not the best chili relleno but was ok. 
Cheap",2016-01-19 01:15:36
k3mWHA0Kz-k2LRgUb_fqRA,_HVnLoJinkR2IJjJ2UtfEQ,IDtLPgUrqorrpqSLdfMhZQ,3,0,0,0,"To be fair, the place is an extraordinary visual dream.  The counterperson was very accommodating when asked if I would like to order breakfast at 5 to 11.  I did and he asked the chefs not to put the breakfast acudaments away.  Very kind and great service.

 I was terribly excited to meet my husband for brunch during the work week but was slightly disappointed with my order.  Being vegetarian I thought I might try the biscuit egg dish without the egg and enjoy the tomato jam.  It was over cooked, could hardly bite into the biscuit and the jam far too sweet.  

Oh well, perhaps I will just have coffee next time because that was delicious.",2017-08-08 22:39:34
4YAj-NY_uP6J9I28bbCXaQ,0CUDrMaBZaQUU0xX0fYRpA,IDtLPgUrqorrpqSLdfMhZQ,2,2,0,0,I had really high expectations for this bakery since I'm a pastry chef myself. They seem like they are going for more of a wholesale bakery rather than retail since the show case was rather sad. We arrived at 10:45 on Sunday but there was no sign of life. We thought they were closed but we asked a chef who was just arriving to work and he said they opened at 11.....kind of odd for a bakery. We had the blueberry hand pie. It was good but probably not worth $6.50.  No espresso drinks but they had drip coffee. We will come back again in the future when they aren't so new.,2016-07-18 02:41:52
aFi9RpbJPYuPP2Ou3nGlyA,TB_9D9c1zf0PG8yufw6DwQ,xIGiif0TmmmGuV2-sidMSw,3,0,0,0,"Wow- I never thought something could have too much sugar in it, but here you go!
Maybe it's my advanced years, but everything I bought here on a spur of the moment stop was ""way sweet"".
HUGE selection of treats for the sugar-phile and some sandwich options too.
So, pile into your car and head down to La Bella Rosa (lah-beh-ya-roh-sah) and snack on down the road.
Good prices and good fresh selection!",2016-11-12 23:54:40
luXOex8nayI_PNIvk1CzOg,m8dqASO8X2QG_j6qeaGnlg,xIGiif0TmmmGuV2-sidMSw,2,3,0,0,"I've been coming here for years with my family and after this last experience I will definitely not be going back. They have new employees that are just not friendly. The bread is just okay, and if you order any food off the menu expect to wait at least 20 minutes. I don't mind waiting if the food is worth it but it really isn't. I waited 20 minutes just to get a cold burrito. If you're craving Mexican just go to Super Cucas.",2016-11-14 19:26:29
QsqUh7JapevtXTj24PuN9g,frTx8S3qLLr8xtOi9xrmZQ,IDtLPgUrqorrpqSLdfMhZQ,2,4,0,0,"Went in for a loaf of bread and cheese board.  Asked if they could slice a few pieces of the bread and bag the rest of the loaf.  We were told no, we only use the loaf slicer.  There was a bread  knife about 2 inches from the loaf rack.  We ordered  an olive loaf and when we opened the bag inside was a walnut loaf.  Glad we were not allergic to nuts.  They were not busy,  just careless.",2017-03-23 18:40:46
DxJhQDb9299KLY80iBONZQ,YcgH7TqJHfF1V-uump8gng,IDtLPgUrqorrpqSLdfMhZQ,3,2,0,1,"The place is cute-can't deny that.   Above all else the acme hospitality group knows how to create a trendy yet not over the top vibe and provide a welcoming warm atmosphere in any of there locations. Outside seating is great. And I felt like I could sit and hang out with out taking up too much space. 
I came In to Helena ave really wanting to love it.   
The service was friendly although very slow.   There was a pretty long line though so I know the girl felt flustered and it didn't bother me too much.   
I ordered the quiche, and it was cold. The  assumed eggs would come warmed but you know what assuming does I guess.  
So I Waited in line again to ask have it heated.  And when I got it back the temperature had barely risen. In fact I think she put it in the fridge for a minute not the oven.   It still cold.  Who wants to eat cold eggs!?! 
ThAt was a bummer.   Flavor wasn't bad. Although not bad is still not great.   
I didn't try any coffee.  
Maybe being a bakery I should have gone with a pastry? Oh well.",2017-03-08 18:05:31
ZEAYshhxRXsZcJJUm-1T0w,46nD6kcP-KZXsEyfP0etmQ,IDtLPgUrqorrpqSLdfMhZQ,3,0,0,0,"Hmmm...confused by the super high rating.  Nothing was wrong with the place, but we just didn't think it was anything special.  We tried a baked good, cold drink and a side (just wanted snacks) and all were okay but again, nothing really stood out to us.  Will maybe try again - get an actual sammie or something - as it is in a great area and the people were nice.",2017-07-16 05:45:46
xHjevPWZHKwmYt0Z0eIjEg,ke0wwp9Dx5CVUWP18keLag,IDtLPgUrqorrpqSLdfMhZQ,3,0,0,0,We had a cinnamon roll and chocolate croissant here. The service at the counter was harried and sloppy although polite. The two people in front of me were visibly frustrated for different reasons (one ordered takeout and got their order on a plate and one had been waiting a while for their coffee and the wrong drink was made). Our pastries were good but not outstanding. The cinnamon roll had a ton of sweet icing without a taste of creamcheese (I think it was a sugar icing). And not a lot of cinnamon taste either. Croissant was good but standard.,2017-07-07 01:39:52
a_dkxrWV8Dnvx02TCtD2jQ,9tGX0NBhzYOVl16bI-gvPg,IDtLPgUrqorrpqSLdfMhZQ,3,0,0,0,"Soooo could have given 4 stars to this adorable place but the militant 11:00 am cut off of breakfast is just too, well, militant. Totally understand a kitchens need to change over but perhaps offer the simple granola with yogurt or create a breakfast ""flavored"" baguette to help out the late morning arrivals?? Maybe a fruit and yogurt parfait in the cold case??? Even on weekends if you spent the night out in the funk zone and return the next day in hopes of revitalizing only to be faced with a salad or sandwich at 11:02 am? Honestly it was 11:02. I would have rushed over had I known that s BAKERY would stop serving brekkie at 11:00. Who knew? Well I guess I do now. 
Suggestions to HSB.... help with the transition! I stood at the counter watching what I wanted to order be handed to the person who ordered 3 minutes earlier than me. OUCH! 
Even granola on yogurt would have earned you an extra star from this reviewer. A 3 minute exception to your hard an fast rule would have earned you 2 more stars despite the food only being a 4. Your staff is lovely. They must cringe when the clock strikes 11:00 knowing they can't bend to any pleading a customer might attempt. 
Don't fight the change .... give your customers a little help with the transition and next time we are here perhaps I can give you a star for improvement. 
Thanks for the 11:02 toast n biscuit. Not bad but not enough",2017-07-14 18:30:13
