business_id,average_value,sentiment_label
#NAME?,0.218649518,Not bad
0RxU5OglQyPVtLKC1LPgsA,0.54137931,Not bad
1kVnChI4aqsPw9i2PVqkkw,0.070945946,Not bad
23OxrUaCvvVrwSa1z3xG-w,0.976878613,Worth a visit
3tvi-OJ_-iK1ecjzSaH-oA,0.327205882,Not bad
4gPWSVCRzHvJ7i6LuNrCvA,0.692307692,Not bad
5GUA13zYgw4_8F6qUMU_LA,1.288461538,Worth a visit
7grEnJV48N6BxbEP3uxISA,0.901960784,Worth a visit
7kLn2XsFwyJ-yFn4qx40TQ,1.453125,Worth a visit
8JzURExziDYuCrd7Ve9nDQ,0.823529412,Worth a visit
9YFeX5sbn785n31iR3I77Q,1.774193548,The best!
9uJuBPIQyrC0v9pVv3JKRQ,-0.023715415,Many faults
B1yPXzIIJrLWyTcE4jsYuQ,0.021341463,Not bad
CO5UeHEX1AcK5yRzFVr2Ew,0.425531915,Not bad
CwL56LgcMz7Bvi4xODHVSw,0.258373206,Not bad
DdD7j67fu8kM6DkvY4JCIA,1.25,Worth a visit
FH0MVF7kK0D76Hh4e7hXfQ,0.146666667,Not bad
FQxEfhBd1gMrurP19bhK8w,0.642857143,Not bad
Hj44PIrCtv61ETVclzLMwg,0.21,Not bad
IDtLPgUrqorrpqSLdfMhZQ,0.332236842,Not bad
IRBhPAC4ZoDpXazpoB3epQ,1.916666667,The best!
JZrspVMm79n_iHTYftkI0g,0.538461538,Not bad
JxVPdQrAac7qNUnwse7xcw,1.063829787,Worth a visit
Kg71HUigI1rnY3UMFiLx0w,1.19,Worth a visit
L4-_gPiqsuX50JN_-qUhNQ,1.488095238,Worth a visit
LtxG9DTXCFpteVkD4SGBlw,0.352348993,Not bad
M3LZKA-tVFRJyPeKA3_2OA,0.942857143,Worth a visit
NTWeW_PgQjIZ38h8St7mCQ,1.341463415,Worth a visit
O6RCCmz8-x4NhWJpI8KQug,0.628415301,Not bad
PGVZjuHpB5s5jFMKqKdCmw,0.4375,Not bad
PT99vOEnfEwfOly9YoWvXg,1.557894737,The best!
PtaFDKkhxSjcXz6dVM0uLw,1.254385965,Worth a visit
QS0a4snAEc-zdLeLIgTaHg,1.654205607,The best!
Ss6f5v_t5Vddiaz4ZOxL0g,-0.00331675,Many faults
T5serOgucL236udCsZI0jA,0.255319149,Not bad
ToqcYJVdnrp4fefaucm-Vg,1.5,Worth a visit
UGADjVkBITKPU7I6sMO1oQ,1.375,Worth a visit
UuRZpgZsHX7PyykHV3wbZg,0.014028056,Not bad
VAIOtbsxdNmuhUKkQZFRlA,0.175903614,Not bad
VgAKmXE8B7J0I_O_R13UKQ,0.228412256,Not bad
WQnjp_CEYTYKBBKJDME0bQ,-0.097222222,Many faults
WVNkMz4sEl35swjVtKHOFw,1.093023256,Worth a visit
WgOoT_oNQ6o5xjF8jO2rvA,0.904761905,Worth a visit
XXsofYxziipczzc3OFDD5Q,0,Many faults
XgehM3pBZWuXi45J2dqRJQ,0.43,Not bad
Y0izXh4Dv1_YU68tn43Xiw,0.577868852,Not bad
YrNtBUOUOYwmRZ_UVwH8iQ,-0.014492754,Many faults
Z0mBsgDzDnFAEC5o4X6G9g,0.115131579,Not bad
_6p_j0UL7ST3b2nvHw82eA,0.220095694,Not bad
aD490g5tyGScrxRZP_d1gw,0.679425837,Not bad
aZF_j037W3AhvKKbXGdIQw,1.3125,Worth a visit
bjhCtlYHrkgA5Ku8l-rB3g,0.523809524,Not bad
cQDwJjslebJv5Co7gCm2Yw,0.803571429,Worth a visit
eA1-vRvk8eDf-nH9Ux_G_A,0.81,Worth a visit
edDmC1Zcr5SVczbKBfiXqw,0.097222222,Not bad
ghLjxj4HoSHdflBEz2lIqA,0.329787234,Not bad
hPzPpfSjgQkpWCD7YjcY-A,0.291970803,Not bad
iQ_JNYzwvhSsToR4EHl4cA,0.572727273,Not bad
izSgTrqebu8bN8ONOCs6cQ,0.761904762,Worth a visit
jWgZRpdHy8csA1sUz1auSw,0.280701754,Not bad
jWhlz8LesaC7jZL9bHNe9A,1.421052632,Worth a visit
m4xrhESFLaA7PiddXeg2aw,0.305755396,Not bad
ng12rnK6ZGFddlC15c6Pqg,-0.032258065,Many faults
pGtaxpSxxpmqPs6FAR1W_A,-0.169014085,Many faults
pqlCSlwPp3unjiEBcZe94g,1.909090909,The best!
rwAePQunJwl6WZP8NhWmbQ,1.25,Worth a visit
s4k1P9FHfPUzw3dqXRp7eA,0.755458515,Worth a visit
tiSIiacOzflrMMwJEXVFIA,0.238410596,Not bad
u9oG6CVhS9dJR5ZHS5q23A,0.971590909,Worth a visit
upxQiiUF-6NM9jOJCxS_hg,1.05,Worth a visit
wb6rAxDPWP_5AAl3CKCM1w,0.598290598,Not bad
x1-RLqVvspmksSiICHCcRw,2.36,The best!
xIGiif0TmmmGuV2-sidMSw,0.536842105,Not bad
